"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count"
"1208194120856035329",2019-12-21 01:15:00,"am1300thezone","#HookEm 
https://t.co/NCBnCnMcwR",1,1,NA,1190
"1208194116573630464",2019-12-21 01:14:59,"Mer_Renee","@TexasVolleyball Congrats, ladies! Well deserved! #HookEm",0,0,NA,571
"1208193451067617281",2019-12-21 01:12:20,"BasketballMav17","Congrats on the win today ladies. You got the monkey off your back. Now let’s go get some more! #hookem",15,3,NA,107
"1208191340951023616",2019-12-21 01:03:57,"CeddyB012","<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F480><U+0001F480><U+0001F480><U+0001F480><U+0001F480><U+0001F480><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F480><U+0001F480><U+0001F480> #HookEm #ThisIsTexas https://t.co/Kmsj5rjlI2",0,0,NA,1136
"1207746603412533249",2019-12-19 19:36:43,"CeddyB012","And yet.. despite being down for that long.. we're still the last team to appear in.. and WIN a national title from the big 12. <U+0001F92B><U+0001F918><U+0001F402><U+0001F624> #HookEm #ThisIsTexas https://t.co/xTxDJKmeHz",5,0,NA,1136
"1208004826195464192",2019-12-20 12:42:48,"CeddyB012","He said Alabama and Texas Tech! <U+0001F480><U+0001F480><U+0001F480><U+0001F602><U+0001F602><U+0001F602> #HookEm #ThisIsTexas https://t.co/XQY0O4CYjY",5,0,NA,1136
"1208190335530262528",2019-12-21 00:59:57,"spurs_legacy","@SpaceCityAdam Ayyyy thats awesome work my man #hookem",1,0,NA,3292
"1208177953777102849",2019-12-21 00:10:45,"PioneerPerc","Pretty great to see some old faces come by after their fall college semester! #HookEm #EatEmUpKats https://t.co/0IQPKU8sW8",14,0,NA,297
"1208173317452189706",2019-12-20 23:52:20,"BigHec01","@bigxiicountry <U+0001F595><U+0001F3FD>FCK YEA IT DOES!!!<U+0001F595><U+0001F3FD> #HookEm<U+0001F918><U+0001F3FD><U+0001F402><U+0001F3C8><U+0001F525> https://t.co/AsRIby8v9c",1,0,NA,2057
"1208164331046748160",2019-12-20 23:16:37,"dpasamonte","This quote pretty much sums it up about both Aggies and Longhorns fans: “a lot of empty statements from one side or another.” #HookEm <U+0001F918> #GigEm <U+0001F44D> https://t.co/AyA6U4N5vP https://t.co/3VVi50dzNP",0,0,"San Antonio, TX",2028
"1208156401455058946",2019-12-20 22:45:07,"hecsanchez22","@RudyJay760 the date is what is gonna this years attendance numbers. I’ll be there. #HookEm",1,0,NA,280
"1208151842825424896",2019-12-20 22:27:00,"Sethersk82","@pterrys @UTAustin OMG #HookEm https://t.co/EbqFLhu7or",1,0,NA,1111
"1208147811226836993",2019-12-20 22:10:59,"chihuahua003","Thought you might appreciate this!  Hope you all have an amazing, restful holiday break and a phenomenal New Year! #HookEm #WhatStartsHere @UTexasStudents @utdos @UTMcCombsAlumni @utaustin2024 @thedailytexan https://t.co/b9gFgcYjNf",2,0,NA,96
"1208146025220902913",2019-12-20 22:03:53,"chihuahua003","Recreating the most epic part of the Lion King with a @UTAustin  Hook Em' Horns style. @TexasLonghorns @BeALonghorn @LonghornNetwork @utdos #HookEm
<U+0001F918>#WhatStartsHere https://t.co/0qwBOIllqF",0,0,NA,96
"1208145230043717633",2019-12-20 22:00:43,"jfuqua2300","Happy Birthday and do well in the game. #Hookem https://t.co/QHmxtxVOKT",1,0,NA,139
"1208142384992849921",2019-12-20 21:49:25,"RTexan210","@DennisD4OU @TexAgs Look at Ags gettin blowed up by OU! <U+0001F602> #HookEm <U+0001F918>",0,0,"San Antonio, TX",664
"1208140373924761609",2019-12-20 21:41:25,"mufynl","This truly is THE best commit tweet I’ve seen. So happy for you! Loved watching you play and meeting your sweet mama. I’m a UT auntie! I’ll be rooting for you. Much love &amp; success #HookEm https://t.co/OlJcbmLieQ",0,0,NA,556
"1208130902783647745",2019-12-20 21:03:47,"UTSurplus","It was a great year!<U+0001F918><U+267B><U+FE0F> #UTAustin #HooKem #ZeroWaste @UTAustin @UTAustinPolice @UTStaffCouncil @UTFacilities @TexasConnect2 @TexasExes @TexasLonghorns @KeepTexasGreen https://t.co/T3s6XmqIf5",4,1,NA,61
"1208084654655516672",2019-12-20 18:00:01,"KVUE","KVUE REWIND: No. 18 #TexasLonghorns top #IowaHawkeyes in 2006 #ValeroAlamoBowl (Dec. 30, 2006) <U+0001F3C8> #ThisIsTexas #HookEm <U+0001F918> https://t.co/1XG8jEPviP",1,0,NA,1105
"1208129972877041664",2019-12-20 21:00:06,"KVUE","Greg Kelley is officially a #Longhorn after being exonerated on child sex assault charges. <U+0001F918> https://t.co/OhORbG6iyy #WhatStartsHere #Hookem",25,2,NA,1105
